Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
C1,402,1,10uF,C19702
"C10, C11",402,2,1uF,C52923
C12,402,1,.01uF,C1524
"C13, C14, C15",402,3,10uF,C315248
"C16, C20",402,2,100nF,C1525
"C17, C19",402,2,22uF,C3845593
C18,402,1,1uF,C14445
"C2, C5",402,2,10pF,C32949
C21,402,1,33pF,C70465
C22,603,1,3.3uF,C51412
"C3, C4, C6, C8",402,4,100nF,C307331
C7,402,1,2.2uF,C12530
C9,402,1,10nF,C1524
D1,603,1,LED,C9900011154
"D10, D12, D4, D5, D6, D7, D8, D9",D_SMA,8,SS34,C3032484
"D11, D13, D14, D18, D19, D21, D22, D23",402,8,PESD3V3U1UL,C19829543
"D15, D16, D17, D20",D_SOD-882,4,PESD5V0L1UL,C3001948
D2,603,1,LED,C779453
D3,603,1,LED,C131286
FB1,603,1,120R,C85831
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12--MODIFIED,1,TYPE-C-31-M-12,C165948
J2,PinHeader_1x04_P2.54mm_Vertical,1,SWD,C160390
J3,XT30UPBF,1,XT30UPB-F,C108769
J5,CONN_XT30UPB-M_AMA,1,XT30UPB-M,C428721
"J6, J8",CONN_S6B-XH-SM4-TB_JST,2,Conn_01x06,C191914
J7,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04_Pin,C160390
L1,402,1,3.3uH,C84474
MOSFET1,PG-DSO-8-902_INF,1,IRF7351TRPBF,C68403
"Q1, Q14, Q2, Q6",TO-263-2,4,RF1S9540SM, C33903
"Q10, Q11, Q12, Q13, Q16, Q4, Q5, Q8",SOT-23,8,2N7002,C466660
"Q15, Q3, Q7, Q9",TO-263-2,4,IRLZ44NS, C538199
"R1, R2",402,2,4.7k,C25900
"R10, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R4, R5, R6, R7, R8, R9",402,19,1k,C102758
R11,402,1,29.4k,C162880
R12,402,1,10k,C25531
"R25, R26, R33",402,3,5k,C477765
"R27, R31, R32",402,3,10k,C25531 
R28,402,1,56.2k,C54968
R29,402,1,15k,C25539
R3,402,1,10k,C174364
R30,603,1,470,C23179
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CCU6,C79861
U2,MSOP-8_3x3mm_P0.65mm,1,LT1962-3.3,C107774
U3,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,1,LTC4365DDB,C688318
U4,SOT-23-6,1,TPS563200,C49208508
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
